"时间","类型","技能","来源 → 目标",""
"04:29.115","施法","极炎法 1.46 秒+3% damage","脆薯 → 万魔殿",""
"04:29.739","施法","深谋远虑之策","脆薯 → 玛德琳",""
"04:31.521","施法","极炎法 1.46 秒+3% damage","脆薯 → 万魔殿",""
"04:33.969","施法","极炎法 1.46 秒+3% damage","脆薯 → 万魔殿",""
"04:34.590","施法","以太契约","脆薯 → 一只小黑凌",""
"04:36.368","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"04:38.816","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"04:41.217","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"04:43.663","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"04:46.070","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"04:46.869","施法","炽天召唤","脆薯 → 脆薯",""
"04:48.558","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"04:49.225","施法","慰藉","脆薯 → 脆薯",""
"04:50.959","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"04:51.672","施法","醒梦","脆薯 → 脆薯",""
"04:53.408","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"04:54.919","施法","蛊毒法","脆薯 → 万魔殿",""
"04:58.254","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"05:00.659","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"05:03.105","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"05:05.509","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"05:07.019","施法","毁坏","脆薯 → 万魔殿",""
"05:07.731","施法","慰藉","脆薯 → 脆薯",""
"05:09.469","施法","毁坏","脆薯 → 万魔殿",""
"05:13.294","施法","士气高扬之策 1.94 秒","脆薯",""
"05:15.209","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"05:17.656","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"05:18.723","施法","野战治疗阵","脆薯",""
"05:19.612","施法","毁坏","脆薯 → 万魔殿",""
"05:22.949","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"05:23.973","施法","冲刺","脆薯 → 脆薯",""
"05:24.728","施法","蛊毒法","脆薯 → 万魔殿",""
"05:26.417","施法","能量吸收","脆薯 → 万魔殿",""
"05:27.085","施法","以太超流","脆薯 → 脆薯",""
"05:29.307","施法","士气高扬之策 1.94 秒","脆薯",""
"05:32.823","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"05:33.579","施法","即刻咏唱","脆薯 → 脆薯",""
"05:34.466","施法","复生","脆薯 → 虎岩",""
"05:36.868","起始施法","复生 Canceled","脆薯 → 玛德琳",""
"05:40.911","起始施法","朝日召唤 Canceled","脆薯 → 脆薯",""
"05:41.669","施法","秘策","脆薯 → 脆薯",""
"05:42.380","施法","异想的幻光","脆薯 → 脆薯",""
"05:43.133","施法","生命回生法","脆薯 → 脆薯",""
"05:45.404","施法","鼓舞激励之策 1.94 秒+21% healing","脆薯 → 脆薯",""
"05:46.559","施法","展开战术","脆薯",""
"05:48.783","施法","鼓舞激励之策 1.94 秒+10% healing","脆薯 → 玛德琳",""
"05:57.231","施法","毁坏","脆薯 → 万魔殿",""
"05:58.877","施法","醒梦","脆薯 → 脆薯",""
"05:59.632","施法","蛊毒法","脆薯 → 万魔殿",""
"06:02.032","施法","野战治疗阵","脆薯",""
"06:03.145","施法","异想的祥光","脆薯 → 脆薯",""
"06:05.410","施法","士气高扬之策 1.94 秒+10% healing","脆薯",""
"06:07.320","施法","极炎法 1.46 秒+3% damage","脆薯 → 万魔殿",""
"06:10.253","施法","士气高扬之策 1.94 秒+10% healing","脆薯",""
"06:11.184","施法","连环计","脆薯 → 万魔殿",""
"06:11.988","施法","毁坏 +6% damage","脆薯 → 万魔殿",""
"06:13.633","施法","仙光的低语","脆薯 → 脆薯",""
"06:14.389","施法","毁坏 +6% damage","脆薯 → 万魔殿",""
"06:15.324","施法","能量吸收 +6% damage","脆薯 → 万魔殿",""
"06:16.882","施法","毁坏 +6% damage","脆薯 → 万魔殿",""
"06:17.681","施法","不屈不挠之策 +10% healing","脆薯",""
"06:19.284","施法","毁坏 +6% damage","脆薯 → 万魔殿",""
"06:20.310","施法","转化","脆薯 → 脆薯",""
"06:22.624","施法","极炎法 1.46 秒+6% damage","脆薯 → 万魔殿",""
"06:23.783","施法","深谋远虑之策","脆薯 → 玛德琳",""
"06:25.430","施法","极炎法 1.46 秒+6% damage","脆薯 → 万魔殿",""
"06:26.051","施法","能量吸收 +6% damage","脆薯 → 万魔殿",""
"06:27.871","施法","极炎法 1.46 秒+3% damage","脆薯 → 万魔殿",""
"06:28.494","施法","能量吸收 +3% damage","脆薯 → 万魔殿",""
"06:29.339","施法","蛊毒法 +3% damage","脆薯 → 万魔殿",""
"06:30.050","施法","以太超流","脆薯 → 脆薯",""
"06:32.672","施法","极炎法 1.46 秒+3% damage","脆薯 → 万魔殿",""
"06:35.116","施法","极炎法 1.46 秒+3% damage","脆薯 → 万魔殿",""
"06:37.564","施法","极炎法 1.46 秒+3% damage","脆薯 → 万魔殿",""
"06:39.967","施法","极炎法 1.46 秒+3% damage","脆薯 → 万魔殿",""
"06:42.409","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"06:43.342","施法","野战治疗阵","脆薯",""
"06:45.472","施法","士气高扬之策 1.94 秒+20% healing","脆薯",""
"06:47.384","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
